Australia,17 Mar 2019,Haas Ferrari,6,8
Bahrain,31 Mar 2019,Haas Ferrari,13,0
China,14 Apr 2019,Haas Ferrari,13,0
Azerbaijan,28 Apr 2019,Haas Ferrari,13,0
Spain,12 May 2019,Haas Ferrari,7,6
Monaco,26 May 2019,Haas Ferrari,14,0
Canada,09 Jun 2019,Haas Ferrari,17,0
France,23 Jun 2019,Haas Ferrari,17,0
Austria,30 Jun 2019,Haas Ferrari,19,0
Great Britain,14 Jul 2019,Haas Ferrari,DNF,0
Germany,28 Jul 2019,Haas Ferrari,8,4
Hungary,04 Aug 2019,Haas Ferrari,13,0
Belgium,01 Sep 2019,Haas Ferrari,12,0
Italy,08 Sep 2019,Haas Ferrari,DNF,0
Singapore,22 Sep 2019,Haas Ferrari,17,0
Russia,29 Sep 2019,Haas Ferrari,9,2
Japan,13 Oct 2019,Haas Ferrari,15,0
Mexico,27 Oct 2019,Haas Ferrari,15,0
United States,03 Nov 2019,Haas Ferrari,DNF,0
Brazil,17 Nov 2019,Haas Ferrari,11,0
Abu Dhabi,01 Dec 2019,Haas Ferrari,14,0
